# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     74.71     -67.92       2.93       1.00       0.00       2.92       2.50      -0.00       2.83    9.868  '/tmp/tmpwDTIwB/gold_soln_actives_final_m1_4.mol2'            'CHEMBL1081852'
     83.42     -70.75       3.73       0.93       0.00       0.00       0.74      -0.00       0.15    4.756  '/tmp/tmpwDTIwB/gold_soln_actives_final_m2_2.mol2'             'CHEMBL469561'
     81.84     -74.73       2.00       1.00       0.00       1.08       0.44      -0.00       0.09    4.580  '/tmp/tmpwDTIwB/gold_soln_actives_final_m3_2.mol2'             'CHEMBL469561'
     72.23     -67.80       2.00       0.00       0.00       0.00       1.57      -0.00       1.04   12.108  '/tmp/tmpwDTIwB/gold_soln_actives_final_m4_2.mol2'             'CHEMBL576386'
     74.13     -68.27       1.96       1.59       0.00       0.00       2.80      -0.00       0.82   12.096  '/tmp/tmpwDTIwB/gold_soln_actives_final_m5_5.mol2'             'CHEMBL576386'
     77.32     -68.70       2.86       1.28       0.00       0.37       2.18      -0.00       0.95    9.204  '/tmp/tmpwDTIwB/gold_soln_actives_final_m6_5.mol2'             'CHEMBL577134'
     73.58     -70.54       1.00       1.38       0.00       1.12       1.85      -0.00       0.71    9.596  '/tmp/tmpwDTIwB/gold_soln_actives_final_m7_5.mol2'             'CHEMBL575824'
     82.36     -83.78       0.00       0.57       0.00       0.14       2.06      -0.00       1.14   11.784  '/tmp/tmpwDTIwB/gold_soln_actives_final_m8_3.mol2'             'CHEMBL577379'
     74.81     -72.99       1.00       1.64       0.00       0.02       3.88      -0.00       1.53   11.840  '/tmp/tmpwDTIwB/gold_soln_actives_final_m9_2.mol2'             'CHEMBL577379'
     81.26     -75.97       1.81       0.93       0.00       0.00       1.99      -0.00       1.04   11.832  '/tmp/tmpwDTIwB/gold_soln_actives_final_m10_3.mol2'             'CHEMBL573096'
     71.00     -72.71       2.99       1.00       0.00       9.17       2.82      -0.00       1.13   11.552  '/tmp/tmpwDTIwB/gold_soln_actives_final_m11_2.mol2'             'CHEMBL573096'
     77.21     -72.00       0.68       2.00       0.00       0.44       1.72      -0.00       0.98   11.700  '/tmp/tmpwDTIwB/gold_soln_actives_final_m12_2.mol2'             'CHEMBL573326'
     75.02     -72.16       1.00       0.94       0.00       0.00       2.07      -0.00       1.01   11.816  '/tmp/tmpwDTIwB/gold_soln_actives_final_m13_4.mol2'             'CHEMBL573326'
     81.34     -71.24       2.99       1.00       0.00       1.39       1.43      -0.00       2.11    6.504  '/tmp/tmpwDTIwB/gold_soln_actives_final_m14_1.mol2'             'CHEMBL574269'
     86.42     -84.05       1.00       1.06       0.00       0.00       3.02      -0.00       2.24   11.160  '/tmp/tmpwDTIwB/gold_soln_actives_final_m15_2.mol2'             'CHEMBL574269'
     60.55     -51.88       3.96       0.00       0.00       1.90       3.29      -0.00       4.97   10.608  '/tmp/tmpwDTIwB/gold_soln_actives_final_m16_1.mol2'             'CHEMBL276130'
     74.39     -66.22       3.00       1.13       0.00       0.00       2.57      -0.00       0.91    5.768  '/tmp/tmpwDTIwB/gold_soln_actives_final_m17_3.mol2'             'CHEMBL574268'
     73.66     -70.41       1.00       0.96       0.00       0.91       1.26      -0.00       0.79    9.152  '/tmp/tmpwDTIwB/gold_soln_actives_final_m18_2.mol2'             'CHEMBL577377'
     71.63     -67.89       1.00       1.00       0.00       0.72       3.61      -0.00       5.09   12.800  '/tmp/tmpwDTIwB/gold_soln_actives_final_m19_1.mol2'             'CHEMBL596072'
     81.98     -71.11       4.33       0.00       0.00       0.00       1.55      -0.00       0.48   16.584  '/tmp/tmpwDTIwB/gold_soln_actives_final_m20_2.mol2'            'CHEMBL1098938'
     71.78     -67.42       0.95       1.11       0.00       0.90       2.59      -0.00       4.25   12.520  '/tmp/tmpwDTIwB/gold_soln_actives_final_m21_4.mol2'             'CHEMBL603197'
     67.76     -66.57       0.91       0.00       0.00       0.00       2.17      -0.00       2.81   15.608  '/tmp/tmpwDTIwB/gold_soln_actives_final_m22_5.mol2'            'CHEMBL1095612'
     73.59     -68.44       1.00       1.18       0.00       0.00       2.67      -0.00       3.72    7.636  '/tmp/tmpwDTIwB/gold_soln_actives_final_m23_1.mol2'             'CHEMBL596073'
     38.53     -43.13       0.00       0.00       0.00       4.27       2.33      -0.00       4.33    8.236  '/tmp/tmpwDTIwB/gold_soln_actives_final_m24_5.mol2'             'CHEMBL253457'
     76.96     -71.62       2.34       0.00       0.00       0.00       1.28      -0.00       0.89    4.496  '/tmp/tmpwDTIwB/gold_soln_actives_final_m25_3.mol2'             'CHEMBL470410'
