# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     61.88     -49.61       4.98       0.00       0.00       2.81       1.53      -0.00       3.19    0.456  '/tmp/tmpqdVv87/gold_soln_actives_final_m1_5.mol2'            'CHEMBL1081852'
     78.55     -63.70       4.94       0.37       0.00       1.11       0.33      -0.00       0.41    0.340  '/tmp/tmpqdVv87/gold_soln_actives_final_m2_2.mol2'             'CHEMBL469561'
     70.62     -66.82       2.00       0.41       0.00       0.57       1.67      -0.00       0.46    0.344  '/tmp/tmpqdVv87/gold_soln_actives_final_m3_3.mol2'             'CHEMBL469561'
     58.61     -59.61       1.57       0.00       0.00       1.39       2.86      -0.00       1.41    0.560  '/tmp/tmpqdVv87/gold_soln_actives_final_m4_3.mol2'             'CHEMBL576386'
     58.67     -58.09       1.89       0.00       0.00       1.49       2.64      -0.00       1.69    0.600  '/tmp/tmpqdVv87/gold_soln_actives_final_m5_1.mol2'             'CHEMBL576386'
     79.20     -73.38       2.60       0.54       0.00       1.18       1.66      -0.00       0.91    0.456  '/tmp/tmpqdVv87/gold_soln_actives_final_m6_1.mol2'             'CHEMBL577134'
     60.24     -62.32       1.00       0.00       0.00       1.36       2.47      -0.00       1.22    0.492  '/tmp/tmpqdVv87/gold_soln_actives_final_m7_5.mol2'             'CHEMBL575824'
     70.83     -73.92       0.00       0.00       0.00       1.89       1.16      -0.00       1.11    0.532  '/tmp/tmpqdVv87/gold_soln_actives_final_m8_3.mol2'             'CHEMBL577379'
     65.68     -67.05       1.00       0.00       0.00       1.57       2.44      -0.00       2.08    0.508  '/tmp/tmpqdVv87/gold_soln_actives_final_m9_4.mol2'             'CHEMBL577379'
     62.90     -74.86       1.00       0.70       0.00      13.32       2.70      -0.00       1.68    0.604  '/tmp/tmpqdVv87/gold_soln_actives_final_m10_5.mol2'             'CHEMBL573096'
     66.44     -76.69       1.00       1.90       0.00      14.63       3.12      -0.00       1.91    0.584  '/tmp/tmpqdVv87/gold_soln_actives_final_m11_4.mol2'             'CHEMBL573096'
     55.11     -55.13       0.00       1.00       0.00       0.00       2.34      -0.00       1.65    0.600  '/tmp/tmpqdVv87/gold_soln_actives_final_m12_5.mol2'             'CHEMBL573326'
     65.75     -65.39       1.00       0.00       0.00       1.23       1.29      -0.00       1.18    0.548  '/tmp/tmpqdVv87/gold_soln_actives_final_m13_4.mol2'             'CHEMBL573326'
     59.86     -58.46       1.00       0.00       0.00       1.39       1.52      -0.00       2.83    0.516  '/tmp/tmpqdVv87/gold_soln_actives_final_m14_4.mol2'             'CHEMBL574269'
     70.63     -71.53       1.00       0.00       0.00       1.29       2.80      -0.00       2.16    0.488  '/tmp/tmpqdVv87/gold_soln_actives_final_m15_2.mol2'             'CHEMBL574269'
