# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     72.96     -71.75       0.93       0.83       0.00       3.53       1.68      -0.00       2.84    1.172  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m1_5.mol2'            'CHEMBL1081852'
     81.01     -73.56       2.00       0.96       0.00       0.97       0.55      -0.00       0.44    0.560  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m2_1.mol2'             'CHEMBL469561'
     73.37     -67.31       2.00       0.91       0.00       0.80       1.02      -0.00       0.15    0.932  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m3_5.mol2'             'CHEMBL469561'
     74.33     -70.48       2.00       0.56       0.00       1.39       1.89      -0.00       1.34    1.416  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m4_5.mol2'             'CHEMBL576386'
     65.49     -65.40       1.00       1.34       0.00       2.30       3.21      -0.00       1.40    1.392  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m5_3.mol2'             'CHEMBL576386'
     76.45     -73.19       1.33       0.70       0.00       1.33       1.39      -0.00       0.87    1.096  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m6_1.mol2'             'CHEMBL577134'
     69.22     -65.07       1.00       1.00       0.00       1.00       1.25      -0.00       0.93    1.160  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m7_1.mol2'             'CHEMBL575824'
     78.62     -77.92       0.26       1.00       0.00       1.12       1.96      -0.00       1.24    1.400  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m8_2.mol2'             'CHEMBL577379'
     69.94     -67.64       1.00       1.00       0.00       1.68       1.89      -0.00       1.23    1.344  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m9_2.mol2'             'CHEMBL577379'
     74.37     -67.16       3.12       0.00       0.00       1.02       1.50      -0.00       1.44    1.420  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m10_4.mol2'             'CHEMBL573096'
     63.69     -70.19       1.00       1.95       0.00      11.80       2.72      -0.00       1.44    1.404  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m11_3.mol2'             'CHEMBL573096'
     75.90     -72.20       0.95       1.01       0.00       0.00       1.84      -0.00       1.22    1.384  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m12_2.mol2'             'CHEMBL573326'
     73.31     -71.52       0.99       0.09       0.00       0.00       1.51      -0.00       0.99    1.376  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m13_1.mol2'             'CHEMBL573326'
     69.69     -63.21       2.94       0.00       0.00       1.39       1.60      -0.00       2.24    1.252  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m14_2.mol2'             'CHEMBL574269'
     77.41     -75.10       1.00       0.91       0.00       0.00       2.91      -0.00       2.40    1.268  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m15_4.mol2'             'CHEMBL574269'
     57.11     -50.53       3.99       0.00       0.00       4.35       3.25      -0.00       5.23    1.244  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m16_4.mol2'             'CHEMBL276130'
     76.88     -65.45       3.00       1.84       0.00       0.07       2.22      -0.00       1.09    1.168  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m17_3.mol2'             'CHEMBL574268'
     64.62     -66.07       1.00       0.00       0.00       1.39       1.99      -0.00       0.90    1.100  '/tmp/tmpR5ZyO6/gold_soln_actives_final_m18_2.mol2'             'CHEMBL577377'
