# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     73.38     -72.10       1.00       0.00       0.00       2.95       0.70      -0.00       2.63    9.812  '/tmp/tmpkdXFtC/gold_soln_actives_final_m1_3.mol2'            'CHEMBL1081852'
     80.66     -73.15       2.72       0.00       0.00       0.00       0.38      -0.00       0.11    4.536  '/tmp/tmpkdXFtC/gold_soln_actives_final_m2_2.mol2'             'CHEMBL469561'
     81.77     -74.66       2.00       0.96       0.00       1.11       0.39      -0.00       0.10    7.388  '/tmp/tmpkdXFtC/gold_soln_actives_final_m3_4.mol2'             'CHEMBL469561'
     83.60     -77.56       1.90       1.00       0.00       1.26       1.28      -0.00       1.15    9.568  '/tmp/tmpkdXFtC/gold_soln_actives_final_m4_4.mol2'             'CHEMBL576386'
     71.11     -68.46       1.00       1.32       0.00       0.03       2.84      -0.00       1.39    9.672  '/tmp/tmpkdXFtC/gold_soln_actives_final_m5_3.mol2'             'CHEMBL576386'
     77.17     -73.79       1.00       1.58       0.00       1.36       2.17      -0.00       0.88    5.476  '/tmp/tmpkdXFtC/gold_soln_actives_final_m6_1.mol2'             'CHEMBL577134'
     78.12     -68.27       2.98       0.99       0.00       0.00       1.50      -0.00       0.91    9.696  '/tmp/tmpkdXFtC/gold_soln_actives_final_m7_4.mol2'             'CHEMBL575824'
     88.90     -81.52       1.98       1.00       0.00       0.03       1.63      -0.00       1.61    7.200  '/tmp/tmpkdXFtC/gold_soln_actives_final_m8_2.mol2'             'CHEMBL577379'
     72.35     -69.54       1.00       1.81       0.00       2.04       2.48      -0.00       1.38   11.900  '/tmp/tmpkdXFtC/gold_soln_actives_final_m9_5.mol2'             'CHEMBL577379'
     77.42     -72.67       1.32       1.00       0.00       0.02       1.54      -0.00       0.89    7.272  '/tmp/tmpkdXFtC/gold_soln_actives_final_m10_2.mol2'             'CHEMBL573096'
