# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     60.60     -55.91       2.19       0.00       0.00       0.57       2.29       3.28    0.408  '/tmp/tmp9r24QL/gold_soln_actives_final_m1_3.mol2'            'CHEMBL1081852'
     67.53     -53.01       4.90       1.00       0.00       0.00       1.77       0.35    0.336  '/tmp/tmp9r24QL/gold_soln_actives_final_m2_1.mol2'             'CHEMBL469561'
     57.74     -53.80       1.86       0.00       0.00       0.86       0.52       0.27    0.320  '/tmp/tmp9r24QL/gold_soln_actives_final_m3_3.mol2'             'CHEMBL469561'
     76.94     -77.28       0.00       0.00       0.00       0.02       0.84       1.35    0.484  '/tmp/tmp9r24QL/gold_soln_actives_final_m4_5.mol2'             'CHEMBL576386'
     63.73     -61.69       1.66       0.00       0.00       0.87       1.89       1.72    0.508  '/tmp/tmp9r24QL/gold_soln_actives_final_m5_3.mol2'             'CHEMBL576386'
     58.32     -49.88       2.86       1.00       0.00       0.00       2.20       1.25    0.404  '/tmp/tmp9r24QL/gold_soln_actives_final_m6_4.mol2'             'CHEMBL577134'
     73.87     -71.35       2.00       0.00       0.00       1.32       1.80       1.00    0.412  '/tmp/tmp9r24QL/gold_soln_actives_final_m7_3.mol2'             'CHEMBL575824'
     58.99     -59.48       0.00       0.00       0.00       0.27       1.05       1.87    0.468  '/tmp/tmp9r24QL/gold_soln_actives_final_m8_4.mol2'             'CHEMBL577379'
     63.35     -61.95       1.00       1.00       0.00       0.03       3.40       2.01    0.468  '/tmp/tmp9r24QL/gold_soln_actives_final_m9_2.mol2'             'CHEMBL577379'
     53.66     -60.39       0.00       0.00       0.00       2.51       3.20       1.84    0.520  '/tmp/tmp9r24QL/gold_soln_actives_final_m10_1.mol2'             'CHEMBL573096'
     76.07     -76.64       0.40       0.42       0.00       1.39       1.66       1.66    0.540  '/tmp/tmp9r24QL/gold_soln_actives_final_m11_5.mol2'             'CHEMBL573096'
     62.85     -66.46       0.00       1.99       0.00       6.38       2.35       1.23    0.488  '/tmp/tmp9r24QL/gold_soln_actives_final_m12_1.mol2'             'CHEMBL573326'
     80.52     -85.02       0.00       0.00       0.00       0.99       2.31       1.11    0.496  '/tmp/tmp9r24QL/gold_soln_actives_final_m13_3.mol2'             'CHEMBL573326'
     62.54     -60.65       1.00       1.71       0.00       4.22       2.31       2.60    0.464  '/tmp/tmp9r24QL/gold_soln_actives_final_m14_5.mol2'             'CHEMBL574269'
     62.52     -62.14       0.03       1.00       0.00       0.00       2.63       2.56    0.456  '/tmp/tmp9r24QL/gold_soln_actives_final_m15_4.mol2'             'CHEMBL574269'
     50.68     -50.07       0.26       0.00       0.00       0.05       3.13       5.70    0.428  '/tmp/tmp9r24QL/gold_soln_actives_final_m16_1.mol2'             'CHEMBL276130'
     69.21     -66.21       1.57       0.95       0.00       1.39       2.26       1.34    0.416  '/tmp/tmp9r24QL/gold_soln_actives_final_m17_2.mol2'             'CHEMBL574268'
     71.11     -67.78       0.00       2.00       0.00       1.39       1.38       1.01    0.424  '/tmp/tmp9r24QL/gold_soln_actives_final_m18_2.mol2'             'CHEMBL577377'
     65.86     -62.24       2.01       1.70       0.00       7.86       2.70       5.74    0.484  '/tmp/tmp9r24QL/gold_soln_actives_final_m19_5.mol2'             'CHEMBL596072'
     64.95     -64.25       2.00       0.00       0.00       1.50       2.42       1.03    0.500  '/tmp/tmp9r24QL/gold_soln_actives_final_m20_3.mol2'            'CHEMBL1098938'
     71.97     -67.19       0.05       2.42       0.00       0.15       3.87       5.27    0.544  '/tmp/tmp9r24QL/gold_soln_actives_final_m21_3.mol2'             'CHEMBL603197'
     62.69     -64.26       0.99       0.00       0.00       2.00       3.01       2.66    0.544  '/tmp/tmp9r24QL/gold_soln_actives_final_m22_2.mol2'            'CHEMBL1095612'
     66.15     -61.12       2.67       0.96       0.00       4.49       3.67       5.26    0.492  '/tmp/tmp9r24QL/gold_soln_actives_final_m23_1.mol2'             'CHEMBL596073'
     50.22     -60.26       0.00       0.00       0.00       8.91       3.08       5.03    0.428  '/tmp/tmp9r24QL/gold_soln_actives_final_m24_3.mol2'             'CHEMBL253457'
     47.15     -54.63       0.00       0.00       0.00       1.52       3.51       1.06    0.336  '/tmp/tmp9r24QL/gold_soln_actives_final_m25_5.mol2'             'CHEMBL470410'
     56.17     -60.00       0.00       0.00       0.00       0.00       2.60       1.38    0.324  '/tmp/tmp9r24QL/gold_soln_actives_final_m26_5.mol2'             'CHEMBL470410'
     66.01     -64.93       0.93       0.00       0.00       0.82       3.85       5.94    0.452  '/tmp/tmp9r24QL/gold_soln_actives_final_m27_1.mol2'             'CHEMBL252259'
     45.91     -58.33       0.00       0.00       0.00      12.67       2.90       6.04    0.472  '/tmp/tmp9r24QL/gold_soln_actives_final_m28_5.mol2'             'CHEMBL252259'
     71.67     -61.07       2.67       1.54       0.00       0.05       1.61       1.19    0.400  '/tmp/tmp9r24QL/gold_soln_actives_final_m29_2.mol2'             'CHEMBL210740'
     64.18     -75.47       0.36       0.83       0.00      12.92       3.19       4.28    0.572  '/tmp/tmp9r24QL/gold_soln_actives_final_m30_4.mol2'             'CHEMBL211774'
     10.83     -28.35       0.00       0.40       0.00      17.16       3.36       2.93    0.640  '/tmp/tmp9r24QL/gold_soln_actives_final_m31_1.mol2'             'CHEMBL211774'
     53.49     -68.38       0.61       0.00       0.00      18.26       1.70       4.95    0.532  '/tmp/tmp9r24QL/gold_soln_actives_final_m32_1.mol2'            'CHEMBL1204096'
     55.56     -52.66       1.98       0.00       0.00       1.63       3.10       4.78    0.512  '/tmp/tmp9r24QL/gold_soln_actives_final_m33_5.mol2'            'CHEMBL1204096'
     57.80     -58.85       0.00       0.91       0.00       2.58       2.77       4.34    0.480  '/tmp/tmp9r24QL/gold_soln_actives_final_m34_4.mol2'            'CHEMBL1204095'
     79.20     -74.81       2.43       0.00       0.00       0.33       2.89       3.20    0.432  '/tmp/tmp9r24QL/gold_soln_actives_final_m35_3.mol2'            'CHEMBL1081853'
     67.63     -58.04       1.00       2.86       0.00       0.00       1.56       1.14    0.420  '/tmp/tmp9r24QL/gold_soln_actives_final_m36_5.mol2'             'CHEMBL205410'
     69.80     -67.05       0.00       1.00       0.00       0.05       1.80       3.41    0.540  '/tmp/tmp9r24QL/gold_soln_actives_final_m37_1.mol2'             'CHEMBL210209'
     66.35     -65.69       0.46       1.18       0.00       0.68       3.10       2.62    0.564  '/tmp/tmp9r24QL/gold_soln_actives_final_m38_5.mol2'             'CHEMBL210209'
