# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     63.00     -61.20       1.71       0.00       0.00       2.96       1.73      -0.00       2.78    5.108  '/tmp/tmpxrWXTy/gold_soln_actives_final_m1_2.mol2'            'CHEMBL1081852'
     74.14     -71.49       0.98       0.64       0.00       0.05       1.11      -0.00       0.05    6.700  '/tmp/tmpxrWXTy/gold_soln_actives_final_m2_2.mol2'             'CHEMBL469561'
     73.05     -66.96       3.00       0.00       0.00       1.11       0.93      -0.00       0.05    5.116  '/tmp/tmpxrWXTy/gold_soln_actives_final_m3_2.mol2'             'CHEMBL469561'
     77.35     -76.59       0.74       0.74       0.00       1.36       1.83      -0.00       1.18   10.128  '/tmp/tmpxrWXTy/gold_soln_actives_final_m4_1.mol2'             'CHEMBL576386'
     74.50     -71.94       0.54       0.95       0.00       0.08       1.49      -0.00       1.17   10.348  '/tmp/tmpxrWXTy/gold_soln_actives_final_m5_5.mol2'             'CHEMBL576386'
     71.48     -77.16       0.00       0.00       0.00       0.20       3.24      -0.00       0.97    7.504  '/tmp/tmpxrWXTy/gold_soln_actives_final_m6_4.mol2'             'CHEMBL577134'
     63.87     -67.14       0.00       0.00       0.00       0.96       1.55      -0.00       0.80    7.956  '/tmp/tmpxrWXTy/gold_soln_actives_final_m7_5.mol2'             'CHEMBL575824'
     78.31     -77.81       1.00       0.00       0.00       0.00       1.84      -0.00       1.18    9.712  '/tmp/tmpxrWXTy/gold_soln_actives_final_m8_5.mol2'             'CHEMBL577379'
     78.92     -80.57       0.76       1.25       0.00       4.14       2.59      -0.00       1.38    9.852  '/tmp/tmpxrWXTy/gold_soln_actives_final_m9_1.mol2'             'CHEMBL577379'
     88.85     -88.70       0.46       0.56       0.00       0.08       2.09      -0.00       1.13   10.448  '/tmp/tmpxrWXTy/gold_soln_actives_final_m10_4.mol2'             'CHEMBL573096'
     83.54     -86.36       0.99       0.88       0.00       4.07       3.01      -0.00       1.32   10.648  '/tmp/tmpxrWXTy/gold_soln_actives_final_m11_2.mol2'             'CHEMBL573096'
     76.40     -76.11       0.82       0.00       0.00       0.00       1.72      -0.00       1.28    9.440  '/tmp/tmpxrWXTy/gold_soln_actives_final_m12_2.mol2'             'CHEMBL573326'
     77.81     -76.50       0.86       0.49       0.00       0.90       1.56      -0.00       1.14   10.420  '/tmp/tmpxrWXTy/gold_soln_actives_final_m13_1.mol2'             'CHEMBL573326'
     70.08     -72.29       0.27       0.18       0.00       0.00       2.83      -0.00       2.09    9.576  '/tmp/tmpxrWXTy/gold_soln_actives_final_m14_5.mol2'             'CHEMBL574269'
     73.89     -76.54       0.00       0.00       0.00       0.00       2.47      -0.00       2.29    9.572  '/tmp/tmpxrWXTy/gold_soln_actives_final_m15_2.mol2'             'CHEMBL574269'
     59.08     -55.19       1.59       0.00       0.00       0.00       2.74      -0.00       4.60    8.864  '/tmp/tmpxrWXTy/gold_soln_actives_final_m16_4.mol2'             'CHEMBL276130'
     65.24     -64.97       1.00       0.00       0.00       0.00       1.84      -0.00       0.87    7.624  '/tmp/tmpxrWXTy/gold_soln_actives_final_m17_1.mol2'             'CHEMBL574268'
     66.22     -67.65       1.00       0.00       0.00       0.00       2.72      -0.00       0.81    7.600  '/tmp/tmpxrWXTy/gold_soln_actives_final_m18_1.mol2'             'CHEMBL577377'
     71.67     -74.11       0.82       0.18       0.00       2.50       4.17      -0.00       5.14    9.572  '/tmp/tmpxrWXTy/gold_soln_actives_final_m19_4.mol2'             'CHEMBL596072'
     63.34     -62.35       0.99       0.00       0.00       0.49       1.03      -0.00       0.56    7.996  '/tmp/tmpxrWXTy/gold_soln_actives_final_m20_2.mol2'            'CHEMBL1098938'
     67.97     -66.71       0.00       0.99       0.00       0.00       3.36      -0.00       4.47    9.552  '/tmp/tmpxrWXTy/gold_soln_actives_final_m21_2.mol2'             'CHEMBL603197'
     75.08     -76.51       0.94       0.66       0.00       3.70       2.55      -0.00       2.57    6.728  '/tmp/tmpxrWXTy/gold_soln_actives_final_m22_3.mol2'            'CHEMBL1095612'
     72.43     -75.91       0.51       0.17       0.00       1.43       4.03      -0.00       3.96    9.416  '/tmp/tmpxrWXTy/gold_soln_actives_final_m23_3.mol2'             'CHEMBL596073'
     47.60     -48.48       0.34       0.00       0.00       0.00       3.13      -0.00       4.37    6.640  '/tmp/tmpxrWXTy/gold_soln_actives_final_m24_4.mol2'             'CHEMBL253457'
     70.43     -69.78       1.00       0.00       0.00       0.09       1.45      -0.00       0.51    4.936  '/tmp/tmpxrWXTy/gold_soln_actives_final_m25_1.mol2'             'CHEMBL470410'
     71.43     -71.42       0.88       0.00       0.00       0.00       1.55      -0.00       0.48    3.744  '/tmp/tmpxrWXTy/gold_soln_actives_final_m26_2.mol2'             'CHEMBL470410'
     67.61     -63.89       0.99       0.84       0.00       0.21       3.32      -0.00       4.99   10.256  '/tmp/tmpxrWXTy/gold_soln_actives_final_m27_3.mol2'             'CHEMBL252259'
     55.05     -61.52       0.00       0.00       0.00       6.69       2.60      -0.00       4.69   10.916  '/tmp/tmpxrWXTy/gold_soln_actives_final_m28_3.mol2'             'CHEMBL252259'
     78.47     -77.77       0.99       0.00       0.00       0.20       1.44      -0.00       0.82    5.420  '/tmp/tmpxrWXTy/gold_soln_actives_final_m29_2.mol2'             'CHEMBL210740'
